true_label,predicted_label
جهان,جهان
محله,شهر
ورزش,ورزش
سیاسی,سیاسی
فناوری اطلاعات,فناوری اطلاعات
دانش,دانش
زندگی,شهر
دانش,دانش
دانش,دانش
سیاسی,سیاسی
سیاسی,سیاسی
شهر,شهر
اقتصاد,شهر
زندگی,زندگی
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,دانش
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
زندگی,زندگی
فرهنگ و هنر,فرهنگ و هنر
زندگی,فرهنگ و هنر
ورزش,ورزش
محله,محله
دانش,دانش
فرهنگ و هنر,محله
سیاسی,جامعه
دانش,دانش
سیاسی,سیاسی
فناوری اطلاعات,فناوری اطلاعات
جامعه,جامعه
محله,محله
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
جهان,جهان
محله,محله
دانش,دانش
ورزش,ورزش
اقتصاد,اقتصاد
فرهنگ و هنر,محله
ورزش,ورزش
جامعه,جامعه
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
جهان,جهان
جامعه,جامعه
شهر,شهر
جهان,جهان
اقتصاد,اقتصاد
جهان,جهان
اقتصاد,اقتصاد
محله,محله
جامعه,جامعه
شهر,شهر
جامعه,اقتصاد
جهان,جهان
محله,محله
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
ورزش,ورزش
زندگی,زندگی
فرهنگ و هنر,فرهنگ و هنر
دانش,دانش
سیاسی,فرهنگ و هنر
شهر,شهر
سیاسی,سیاسی
سیاسی,سیاسی
سیاسی,جامعه
سیاسی,سیاسی
محله,محله
ورزش,ورزش
سیاسی,سیاسی
دانش,دانش
سیاسی,سیاسی
جامعه,جامعه
سیاسی,سیاسی
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
زندگی,زندگی
محله,محله
فرهنگ و هنر,فرهنگ و هنر
جهان,جهان
ورزش,ورزش
جامعه,اقتصاد
محله,فرهنگ و هنر
دانش,دانش
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
فناوری اطلاعات,فناوری اطلاعات
اقتصاد,اقتصاد
جامعه,محله
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
ورزش,ورزش
زندگی,زندگی
جهان,جهان
اقتصاد,اقتصاد
شهر,شهر
فرهنگ و هنر,فرهنگ و هنر
دانش,دانش
اقتصاد,اقتصاد
سیاسی,سیاسی
جامعه,جامعه
سیاسی,سیاسی
فناوری اطلاعات,فناوری اطلاعات
فرهنگ و هنر,فرهنگ و هنر
ورزش,ورزش
جامعه,زندگی
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
دانش,دانش
سیاسی,سیاسی
سیاسی,سیاسی
محله,زندگی
زندگی,شهر
جامعه,جامعه
ورزش,ورزش
محله,محله
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
زندگی,زندگی
جهان,جهان
فناوری اطلاعات,فناوری اطلاعات
جامعه,جامعه
محله,زندگی
زندگی,زندگی
سیاسی,سیاسی
اقتصاد,جامعه
جامعه,جامعه
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
شهر,شهر
محله,شهر
زندگی,زندگی
ورزش,ورزش
دانش,دانش
زندگی,فرهنگ و هنر
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
دانش,دانش
جهان,جهان
دانش,دانش
فناوری اطلاعات,فناوری اطلاعات
فرهنگ و هنر,فرهنگ و هنر
محله,جامعه
دانش,زندگی
دانش,دانش
دانش,زندگی
جامعه,جامعه
جامعه,جامعه
فناوری اطلاعات,فناوری اطلاعات
جامعه,جامعه
شهر,شهر
زندگی,زندگی
فرهنگ و هنر,فرهنگ و هنر
جهان,جهان
محله,محله
دانش,دانش
اقتصاد,اقتصاد
محله,محله
محله,شهر
فناوری اطلاعات,فناوری اطلاعات
محله,جامعه
شهر,شهر
جامعه,جامعه
محله,شهر
ورزش,ورزش
فرهنگ و هنر,فرهنگ و هنر
محله,محله
ورزش,ورزش
جامعه,جامعه
ورزش,ورزش
زندگی,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
سیاسی,سیاسی
شهر,شهر
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
سیاسی,سیاسی
دانش,دانش
شهر,زندگی
محله,محله
ورزش,ورزش
اقتصاد,اقتصاد
اقتصاد,اقتصاد
اقتصاد,اقتصاد
دانش,دانش
زندگی,زندگی
جهان,جهان
محله,محله
زندگی,زندگی
دانش,دانش
زندگی,زندگی
زندگی,زندگی
شهر,فرهنگ و هنر
فرهنگ و هنر,سیاسی
فناوری اطلاعات,فناوری اطلاعات
فناوری اطلاعات,دانش
دانش,دانش
سیاسی,سیاسی
زندگی,زندگی
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,جهان
اقتصاد,اقتصاد
سیاسی,سیاسی
دانش,دانش
شهر,شهر
شهر,محله
جهان,جهان
جهان,جهان
ورزش,ورزش
ورزش,ورزش
اقتصاد,اقتصاد
جهان,جهان
ورزش,ورزش
دانش,دانش
محله,محله
شهر,محله
محله,محله
سیاسی,سیاسی
ورزش,ورزش
جهان,جهان
محله,محله
جهان,جهان
محله,محله
محله,محله
فرهنگ و هنر,فرهنگ و هنر
زندگی,دانش
اقتصاد,اقتصاد
جامعه,جامعه
دانش,اقتصاد
جامعه,جامعه
دانش,دانش
شهر,شهر
شهر,شهر
سیاسی,جامعه
دانش,دانش
سیاسی,سیاسی
محله,محله
فرهنگ و هنر,فرهنگ و هنر
