true_label,predicted_label
جامعه,جامعه
ورزش,ورزش
زندگی,محله
اقتصاد,سیاسی
محله,محله
اقتصاد,اقتصاد
فرهنگ و هنر,دانش
دانش,دانش
جهان,جهان
محله,شهر
شهر,شهر
شهر,شهر
شهر,جامعه
ورزش,ورزش
جهان,جهان
دانش,دانش
محله,محله
محله,محله
سیاسی,سیاسی
سیاسی,سیاسی
جامعه,شهر
سیاسی,سیاسی
محله,زندگی
محله,سیاسی
دانش,محله
ورزش,ورزش
سیاسی,سیاسی
جامعه,جامعه
جهان,جهان
جهان,جهان
جهان,جهان
ورزش,ورزش
سیاسی,سیاسی
فرهنگ و هنر,محله
جامعه,سیاسی
سیاسی,سیاسی
زندگی,زندگی
محله,محله
فرهنگ و هنر,اقتصاد
اقتصاد,جامعه
شهر,شهر
ورزش,ورزش
اقتصاد,سیاسی
محله,فرهنگ و هنر
شهر,جامعه
ورزش,ورزش
جامعه,شهر
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
زندگی,محله
اقتصاد,اقتصاد
جامعه,جامعه
جهان,سیاسی
زندگی,زندگی
سیاسی,سیاسی
شهر,جامعه
جامعه,محله
شهر,شهر
جامعه,جامعه
محله,محله
دانش,جهان
محله,محله
فرهنگ و هنر,فرهنگ و هنر
محله,زندگی
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
شهر,محله
ورزش,ورزش
جهان,جهان
سیاسی,جهان
محله,محله
شهر,شهر
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
محله,فرهنگ و هنر
جامعه,جامعه
جهان,جهان
جهان,جهان
محله,محله
فرهنگ و هنر,فرهنگ و هنر
شهر,محله
زندگی,زندگی
محله,محله
ورزش,ورزش
زندگی,زندگی
جامعه,جامعه
سیاسی,سیاسی
شهر,شهر
محله,شهر
جامعه,جامعه
اقتصاد,اقتصاد
سیاسی,سیاسی
دانش,دانش
سیاسی,جامعه
جامعه,محله
اقتصاد,اقتصاد
جهان,جهان
اقتصاد,اقتصاد
جهان,جهان
سیاسی,جهان
محله,محله
جامعه,جامعه
محله,محله
سیاسی,سیاسی
فناوری اطلاعات,فناوری اطلاعات
ورزش,فرهنگ و هنر
ورزش,ورزش
دانش,فناوری اطلاعات
فرهنگ و هنر,فرهنگ و هنر
محله,محله
شهر,شهر
اقتصاد,اقتصاد
محله,محله
