true_label,predicted_label
اقتصاد,اقتصاد
محله,محله
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
جامعه,محله
فناوری اطلاعات,فناوری اطلاعات
فرهنگ و هنر,سیاسی
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
جهان,جهان
محله,محله
محله,محله
شهر,شهر
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
محله,شهر
فرهنگ و هنر,فرهنگ و هنر
جامعه,جامعه
جهان,جهان
فرهنگ و هنر,دانش
جهان,جهان
ورزش,ورزش
محله,محله
ورزش,ورزش
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
ورزش,ورزش
فرهنگ و هنر,جامعه
محله,محله
ورزش,ورزش
جامعه,جامعه
محله,محله
اقتصاد,اقتصاد
زندگی,دانش
محله,محله
فناوری اطلاعات,دانش
سیاسی,سیاسی
اقتصاد,شهر
ورزش,ورزش
اقتصاد,اقتصاد
دانش,دانش
اقتصاد,اقتصاد
ورزش,ورزش
فرهنگ و هنر,فرهنگ و هنر
فناوری اطلاعات,فناوری اطلاعات
جهان,جهان
اقتصاد,اقتصاد
دانش,فناوری اطلاعات
جهان,جهان
جهان,جهان
شهر,محله
اقتصاد,اقتصاد
دانش,دانش
سیاسی,سیاسی
شهر,شهر
اقتصاد,جامعه
محله,شهر
شهر,شهر
دانش,دانش
جامعه,جامعه
ورزش,ورزش
محله,سیاسی
جامعه,جامعه
سیاسی,سیاسی
شهر,شهر
جامعه,اقتصاد
شهر,شهر
فرهنگ و هنر,فرهنگ و هنر
شهر,شهر
دانش,دانش
جامعه,سیاسی
فناوری اطلاعات,فناوری اطلاعات
دانش,فناوری اطلاعات
جهان,جهان
جهان,جهان
فرهنگ و هنر,فرهنگ و هنر
شهر,شهر
فرهنگ و هنر,فرهنگ و هنر
شهر,محله
دانش,دانش
زندگی,جامعه
جهان,جهان
اقتصاد,اقتصاد
ورزش,ورزش
محله,محله
زندگی,ورزش
سیاسی,سیاسی
محله,جامعه
اقتصاد,اقتصاد
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
ورزش,ورزش
اقتصاد,اقتصاد
سیاسی,سیاسی
اقتصاد,اقتصاد
زندگی,ورزش
جامعه,جامعه
جهان,سیاسی
سیاسی,سیاسی
جامعه,سیاسی
زندگی,زندگی
سیاسی,سیاسی
اقتصاد,اقتصاد
زندگی,زندگی
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
اقتصاد,اقتصاد
اقتصاد,اقتصاد
شهر,شهر
محله,فرهنگ و هنر
ورزش,ورزش
اقتصاد,اقتصاد
جامعه,جامعه
فناوری اطلاعات,فناوری اطلاعات
محله,محله
زندگی,زندگی
دانش,دانش
سیاسی,سیاسی
سیاسی,سیاسی
شهر,شهر
ورزش,ورزش
اقتصاد,اقتصاد
جهان,جهان
زندگی,زندگی
ورزش,ورزش
جهان,جهان
اقتصاد,اقتصاد
شهر,شهر
محله,شهر
اقتصاد,اقتصاد
فرهنگ و هنر,فرهنگ و هنر
زندگی,زندگی
جامعه,اقتصاد
دانش,زندگی
جامعه,شهر
ورزش,ورزش
اقتصاد,اقتصاد
شهر,شهر
ورزش,ورزش
جهان,جهان
سیاسی,سیاسی
زندگی,زندگی
دانش,دانش
محله,محله
فرهنگ و هنر,فرهنگ و هنر
زندگی,جامعه
جامعه,اقتصاد
جهان,جهان
دانش,دانش
اقتصاد,جهان
فناوری اطلاعات,دانش
محله,محله
دانش,دانش
شهر,محله
زندگی,زندگی
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
دانش,فناوری اطلاعات
فرهنگ و هنر,فرهنگ و هنر
شهر,شهر
دانش,دانش
فناوری اطلاعات,فناوری اطلاعات
دانش,دانش
سیاسی,سیاسی
ورزش,ورزش
سیاسی,سیاسی
ورزش,ورزش
ورزش,ورزش
اقتصاد,اقتصاد
شهر,شهر
ورزش,ورزش
جهان,جهان
شهر,شهر
زندگی,زندگی
ورزش,ورزش
محله,محله
فرهنگ و هنر,دانش
ورزش,ورزش
ورزش,ورزش
فناوری اطلاعات,فناوری اطلاعات
سیاسی,فرهنگ و هنر
ورزش,ورزش
ورزش,ورزش
دانش,دانش
جهان,دانش
محله,محله
جامعه,جامعه
فرهنگ و هنر,فرهنگ و هنر
ورزش,ورزش
زندگی,زندگی
جامعه,جامعه
ورزش,ورزش
سیاسی,سیاسی
فرهنگ و هنر,فرهنگ و هنر
فرهنگ و هنر,فرهنگ و هنر
محله,محله
محله,محله
ورزش,ورزش
محله,محله
جهان,فناوری اطلاعات
محله,محله
جامعه,جامعه
دانش,دانش
فناوری اطلاعات,فناوری اطلاعات
اقتصاد,اقتصاد
جهان,جهان
اقتصاد,اقتصاد
شهر,شهر
اقتصاد,جامعه
